alpha f_obj ILD Precision Recall F1_mesure MAP rmsde algo r2
1 classic 0.8762 0.0128 0.0073 0.0093 0.0373 0.2899 IBCF 0.000112

0 personalized 0.6623 0.0406 0.0278 0.033 0.0951 0.1071 SVD 0.007349
0.1 personalized 0.6382 0.0418 0.0285 0.0339 0.0962 0.0785 SVD 0.033819
0.2 personalized 0.6159 0.0429 0.0296 0.035 0.0969 0.0516 SVD 0.250640
0.3 personalized 0.6014 0.0436 0.0301 0.0356 0.0975 0.0303 SVD 0.591006
0.4 personalized 0.5949 0.0432 0.0304 0.0357 0.0971 0.0186 SVD 0.805553
0.5 personalized 0.5922 0.0422 0.0301 0.0351 0.0953 0.0138 SVD 0.884219
0.6 personalized 0.5913 0.0411 0.0283 0.0335 0.0946 0.0114 SVD 0.917478
0.7 personalized 0.5909 0.0392 0.0265 0.0316 0.0922 0.0089 SVD 0.948502
0.8 personalized 0.5908 0.0377 0.0257 0.0306 0.0902 0.0076 SVD 0.962178
0.9 personalized 0.5908 0.0342 0.0236 0.0279 0.0872 0.0072 SVD 0.966911
1 personalized 0.5907 0.0296 0.0198 0.0237 0.0816 0.0064 SVD 0.973672

0 classic 0.6623 0.0406 0.0278 0.033 0.0951 0.1071 SVD 0.007349
0.1 classic 0.7048 0.0387 0.027 0.0318 0.091 0.1359 SVD 0.012882
0.2 classic 0.7364 0.0375 0.0261 0.0308 0.0882 0.1593 SVD 0.019090
0.3 classic 0.7672 0.0356 0.0245 0.029 0.0864 0.1859 SVD 0.019644
0.4 classic 0.7968 0.0339 0.0233 0.0276 0.0856 0.2132 SVD 0.020073
0.5 classic 0.8225 0.0319 0.0218 0.0259 0.0852 0.2375 SVD 0.020798
0.6 classic 0.8444 0.0297 0.0202 0.024 0.0832 0.2586 SVD 0.018591
0.7 classic 0.862 0.0289 0.0197 0.0234 0.0828 0.2757 SVD 0.014555
0.8 classic 0.8723 0.0274 0.0183 0.0219 0.081 0.2857 SVD 0.013644
0.9 classic 0.8762 0.0259 0.0178 0.0211 0.0793 0.2894 SVD 0.010956
1 classic 0.8771 0.0243 0.0161 0.0194 0.0776 0.2903 SVD 0.010201

0 personalized 0.4953 0.0808 0.0498 0.0616 0.1661 0.1236 TopPopular 0.006465
0.1 personalized 0.5341 0.0813 0.0505 0.0623 0.1679 0.0772 TopPopular 0.021430
0.2 personalized 0.5623 0.0826 0.0528 0.0644 0.1694 0.0445 TopPopular 0.349001
0.3 personalized 0.5753 0.0825 0.053 0.0645 0.1706 0.0261 TopPopular 0.708591
0.4 personalized 0.5807 0.0815 0.0538 0.0648 0.171 0.0187 TopPopular 0.834004
0.5 personalized 0.5835 0.0797 0.0524 0.0632 0.1702 0.0133 TopPopular 0.916782
0.6 personalized 0.5857 0.0752 0.0507 0.0606 0.1694 0.0093 TopPopular 0.957532
0.7 personalized 0.5876 0.0721 0.0481 0.0577 0.1678 0.0056 TopPopular 0.983647
0.8 personalized 0.589 0.0675 0.0447 0.0538 0.1622 0.0029 TopPopular 0.995316
0.9 personalized 0.5898 0.0614 0.0409 0.0491 0.1576 0.0012 TopPopular 0.999088
1 personalized 0.59 0.0489 0.0316 0.0384 0.1452 0.0006 TopPopular 0.999793

0 classic 0.4953 0.0808 0.0498 0.0616 0.1661 0.1236 TopPopular 0.006465
0.1 classic 0.5464 0.081 0.0501 0.0619 0.1676 0.0826 TopPopular 0.019388
0.2 classic 0.5993 0.0821 0.0525 0.064 0.1681 0.0655 TopPopular 0.008780
0.3 classic 0.6524 0.0806 0.052 0.0632 0.1673 0.0887 TopPopular 0.006321
0.4 classic 0.7207 0.0773 0.0502 0.0609 0.1654 0.1423 TopPopular 0.007555
